ID,Name,Email,Age,Type,Skills,Score,ExtraField
C030,Rakesh,r30@mail.com,23,Fresher,C++;ML;DSA,9.5,9.500000
C025,Mahesh,m25@mail.com,22,Fresher,Python;ML,9.4,9.400000
C013,Deepak,d13@mail.com,22,Fresher,C++;ML;Python,9.3,9.300000
C047,Bhargav,b47@mail.com,23,Fresher,Python;AI,9.2,9.200000
C006,Krishna,k6@mail.com,22,Fresher,Python;ML;DSA,9.2,9.200000
C038,Abhi,a38@mail.com,20,Fresher,Python;ML,9.1,9.100000
C003,Aditya,a3@mail.com,20,Fresher,C;C++;Python,9.1,9.100000
C042,Ganesh,g42@mail.com,22,Fresher,C++;ML,9,9.000000
C012,Karthik,k12@mail.com,20,Fresher,Python;DSA;OOP,9,9.000000
C041,Praveen,p41@mail.com,20,Fresher,Python;AI,8.9,8.900000
C029,Vishnu,v29@mail.com,22,Fresher,Python;AI,8.9,8.900000
C018,Arvind,a18@mail.com,23,Fresher,C;Python;ML,8.9,8.900000
C008,Shivansh,s8@mail.com,21,Fresher,C++;DSA;Python,8.8,8.800000
C035,Prem,p35@mail.com,21,Fresher,Python;DSA,8.7,8.700000
C015,Nikhil,n15@mail.com,21,Fresher,C;C++;DSA,8.7,8.700000
C023,Srinivas,s23@mail.com,21,Fresher,Python;DSA,8.6,8.600000
C044,Naveen,n44@mail.com,20,Fresher,Python;DSA,8.5,8.500000
C039,Raghu,r39@mail.com,21,Fresher,C++;Python,8.5,8.500000
C001,Aarav,a1@mail.com,21,Fresher,C++;Python;DSA,8.5,8.500000
C049,Sameer,s49@mail.com,22,Fresher,Python;DSA,8.4,8.400000
