ID,Name,Email,Age,Type,Skills,Field
C001,Aarav,a1@mail.com,21,Fresher,C++;Python;DSA,8.5
C002,Vihaan,v2@mail.com,22,Fresher,Java;SQL;Python,7.8
C003,Aditya,a3@mail.com,20,Fresher,C;C++;Python,9.1
C004,Arjun,a4@mail.com,21,Fresher,Python;HTML;CSS,7.2
C005,Rohan,r5@mail.com,23,Fresher,C++;Java;DSA,8.0
C006,Krishna,k6@mail.com,22,Fresher,Python;ML;DSA,9.2
C007,Dev,d7@mail.com,20,Fresher,C;Python,7.4
C008,Shivansh,s8@mail.com,21,Fresher,C++;DSA;Python,8.8
C009,Ayan,a9@mail.com,22,Fresher,Java;Python;SQL,8.1
C010,Ritvik,r10@mail.com,23,Fresher,C++;Python;HTML,7.1
C011,Manish,m11@mail.com,21,Fresher,C;C++;Java,6.9
C012,Karthik,k12@mail.com,20,Fresher,Python;DSA;OOP,9.0
C013,Deepak,d13@mail.com,22,Fresher,C++;ML;Python,9.3
C014,Pranav,p14@mail.com,23,Fresher,HTML;CSS;JS,7.0
C015,Nikhil,n15@mail.com,21,Fresher,C;C++;DSA,8.7
C016,Soham,s16@mail.com,22,Fresher,Python;SQL,7.5
C017,Harshit,h17@mail.com,20,Fresher,C++;Java,6.8
C018,Arvind,a18@mail.com,23,Fresher,C;Python;ML,8.9
C019,Rahul,r19@mail.com,21,Fresher,Python;CyberSecurity,7.3
C020,Sai,s20@mail.com,22,Fresher,C++;DSA;OS,8.4
C021,Rahul,r21@mail.com,23,Fresher,C;Python,7.9
C022,Aakash,a22@mail.com,22,Fresher,Java;Spring,7.0
C023,Srinivas,s23@mail.com,21,Fresher,Python;DSA,8.6
C024,Uday,u24@mail.com,20,Fresher,C++;Java,6.7
C025,Mahesh,m25@mail.com,22,Fresher,Python;ML,9.4
C026,Ajay,a26@mail.com,23,Fresher,C++;DSA;Python,8.2
C027,Suman,s27@mail.com,21,Fresher,C;Python;HTML,7.4
C028,Rajesh,r28@mail.com,20,Fresher,C++;DSA,7.7
C029,Vishnu,v29@mail.com,22,Fresher,Python;AI,8.9
C030,Rakesh,r30@mail.com,23,Fresher,C++;ML;DSA,9.5
C031,Teja,t31@mail.com,21,Fresher,Python;SQL,8.3
C032,Satwik,s32@mail.com,22,Fresher,C++;DSA,7.9
C033,Harsha,h33@mail.com,20,Fresher,Java;DSA,7.0
C034,Kiran,k34@mail.com,23,Fresher,C++;Python,8.2
C035,Prem,p35@mail.com,21,Fresher,Python;DSA,8.7
C036,Keshav,k36@mail.com,22,Fresher,C++;OS,7.3
C037,Ashu,a37@mail.com,23,Fresher,HTML;CSS;JS,6.9
C038,Abhi,a38@mail.com,20,Fresher,Python;ML,9.1
C039,Raghu,r39@mail.com,21,Fresher,C++;Python,8.5
C040,Anil,a40@mail.com,23,Fresher,C;C++;DSA,7.8
C041,Praveen,p41@mail.com,20,Fresher,Python;AI,8.9
C042,Ganesh,g42@mail.com,22,Fresher,C++;ML,9.0
C043,Sidhu,s43@mail.com,21,Fresher,C;Java,6.8
C044,Naveen,n44@mail.com,20,Fresher,Python;DSA,8.5
C045,Venu,v45@mail.com,21,Fresher,C++;OS,7.6
C046,Lokesh,l46@mail.com,22,Fresher,Java;SQL,7.1
C047,Bhargav,b47@mail.com,23,Fresher,Python;AI,9.2
C048,SaiRam,s48@mail.com,21,Fresher,C++;Python,8.1
C049,Sameer,s49@mail.com,22,Fresher,Python;DSA,8.4
C050,Aadil,a50@mail.com,20,Fresher,C++;HTML;CSS,7.9
C051,Imran,i51@mail.com,22,Experienced,C++;Python;SQL,2
C052,Farhan,f52@mail.com,27,Experienced,Java;React;Node,4
C053,Aman,a53@mail.com,30,Experienced,C;C++;DSA,6
C054,Sunny,s54@mail.com,32,Experienced,Python;ML;DSA,8
C055,Sharukh,s55@mail.com,28,Experienced,C++;Java,3
C056,Ravi,r56@mail.com,35,Experienced,Python;SQL;DSA,10
C057,Rakesh,r57@mail.com,29,Experienced,Java;Spring,5
C058,Nishanth,n58@mail.com,33,Experienced,Python;AI,7
C059,Prakash,p59@mail.com,28,Experienced,C++;ML,4
C060,Vikram,v60@mail.com,26,Experienced,C;C++;OS,2
C061,Varun,v61@mail.com,30,Experienced,Java;SQL,6
C062,Dinesh,d62@mail.com,32,Experienced,Python;DSA,8
C063,Shyam,s63@mail.com,29,Experienced,C++;Python,5
C064,Mohan,m64@mail.com,27,Experienced,HTML;CSS;JS,3
C065,Arun,a65@mail.com,33,Experienced,Python;ML,7
C066,Sathish,s66@mail.com,26,Experienced,C++;OS,2
C067,Gopal,g67@mail.com,29,Experienced,C;Java,4
C068,Prudhvi,p68@mail.com,34,Experienced,Python;AI,9
C069,Ram,r69@mail.com,28,Experienced,C++;DSA,3
C070,Kiran,k70@mail.com,31,Experienced,Java;Angular,6
C071,Manoj,m71@mail.com,30,Experienced,Python;ML,7
C072,Vishal,v72@mail.com,29,Experienced,C;C++;DSA,4
C073,Charan,c73@mail.com,33,Experienced,Python;SQL,8
C074,Pavan,p74@mail.com,26,Experienced,C++;Java,3
C075,Ajith,a75@mail.com,35,Experienced,React;Node,10
C076,Kalyan,k76@mail.com,30,Experienced,Python;AI,7
C077,Santosh,s77@mail.com,28,Experienced,C++;ML,4
C078,Rahim,r78@mail.com,32,Experienced,Java;DSA,6
C079,Anwar,a79@mail.com,29,Experienced,C;C++;OS,3
C080,Sohail,s80@mail.com,33,Experienced,Python;AI,8
C081,Devraj,d81@mail.com,34,Experienced,C++;SQL,7
C082,Hanif,h82@mail.com,30,Experienced,Python;ML,6
C083,Pritam,p83@mail.com,28,Experienced,C;C++;DSA,4
C084,Riyaz,r84@mail.com,27,Experienced,Java;Spring,3
C085,Revanth,r85@mail.com,29,Experienced,Python;AI,7
C086,Manikanta,m86@mail.com,32,Experienced,C++;OS,8
C087,Shiva,s87@mail.com,28,Experienced,C;Python,3
